,日期,買賣超金額,台指期
0,2021/05/28,-5771126.53,16863
1,2021/05/27,2602760.008,16534
2,2021/05/26,-818333.487,16616
3,2021/05/25,147885.738,16585
4,2021/05/24,-514560.277,16294
5,2021/05/21,-3264766.044,16257
6,2021/05/20,6912482.595,15981
7,2021/05/19,4421360.749,16138
8,2021/05/18,-5405328.815,16147
9,2021/05/17,-5347148.68,15263
10,2021/05/14,3064748.739,15772
11,2021/05/13,2113785.41,15566
12,2021/05/12,4030465.39,15692
13,2021/05/11,10396127.19,16556
14,2021/05/10,1211479.51,17228
15,2021/05/07,-4189626.133,17287
16,2021/05/06,227879.897,16944
17,2021/05/05,2153794.936,16769
18,2021/05/04,3517242.779,16933
19,2021/05/03,6684037.315,17253
20,2021/04/29,872543.827,17571
21,2021/04/28,-969388.658,17533
22,2021/04/27,-80026.287,17571
23,2021/04/26,-35252.21,17530
24,2021/04/23,-3364613.954,17257
25,2021/04/22,3052364.874,17109
26,2021/04/21,4131675.843,17231
27,2021/04/20,1213439.683,17319
28,2021/04/19,-68306.403,17271
29,2021/04/16,-2912611.78,17158
30,2021/04/15,-728128.598,17071
31,2021/04/14,1192946.446,16856
32,2021/04/13,2421244.877,16795
33,2021/04/12,802119.844,16834
34,2021/04/09,1646389.285,16841
35,2021/04/08,-220357.075,16930
36,2021/04/07,-2630580.049,16768
37,2021/04/06,-3140151.168,16731
38,2021/04/01,-2097478.237,16551
39,2021/03/31,-244596.298,16422
40,2021/03/30,-1645344.606,16519
41,2021/03/29,-2715226.301,16411
42,2021/03/26,-3907532.799,16288
43,2021/03/25,2805370.326,16032
44,2021/03/24,2597249.379,15983
45,2021/03/23,284121.377,16120
46,2021/03/22,554870.582,16140
47,2021/03/19,5140857.103,16012
48,2021/03/18,-2384388.042,16239
49,2021/03/17,3486540.563,16176
50,2021/03/16,-909068.571,16305
51,2021/03/15,450431.328,16200
52,2021/03/12,-740398.87,16222
53,2021/03/11,-3985624.865,16174
54,2021/03/10,544069.931,15883
55,2021/03/09,-124125.466,15822
56,2021/03/08,3723969.04,15816
57,2021/03/05,5418640.142,15855
58,2021/03/04,9154573.254,15925
59,2021/03/03,-2390802.47,16181
60,2021/03/02,2540521.718,15907
61,2021/02/26,16244902.66,15935
62,2021/02/25,-3569842.489,16388
63,2021/02/24,160894.531,16182
64,2021/02/23,-2554.005,16437
65,2021/02/22,1740469.181,16385
66,2021/02/19,2375072.473,16314
67,2021/02/18,754902.011,16380
68,2021/02/17,-4901730.484,16326
69,2021/02/05,1520621.976,15804
70,2021/02/04,-137662.453,15701
71,2021/02/03,723135.225,15772
72,2021/02/02,-1905980.362,15755
73,2021/02/01,-3995941.744,15360
74,2021/01/29,6393616.449,15075
75,2021/01/28,864346.802,15383
76,2021/01/27,-243775.413,15660
77,2021/01/26,5816542.297,15626
78,2021/01/25,632701.04,15912
79,2021/01/22,5546970.204,15984
80,2021/01/21,660675.082,16129
81,2021/01/20,-4949.321,15766
82,2021/01/19,-2032928.212,15888
83,2021/01/18,-917617.237,15606
84,2021/01/15,6530305.617,15634
85,2021/01/14,-30079.797,15729
86,2021/01/13,-1183702.853,15764
87,2021/01/12,4066632.184,15493
88,2021/01/11,-445020.325,15534
89,2021/01/08,164926.677,15454
